PROF_NUM,LONGITUDE,LATITUDE,float,JULD
1.0,-19.8661,59.9345,4903532,2023-05-07 07:30:52.000794624
2.0,-19.6498,60.4443,4903532,2023-05-17 04:56:51.000510464
3.0,-20.1017,60.4921,4903532,2023-05-27 02:10:14.000229376
4.0,-19.8409,60.7486,4903532,2023-06-05 23:48:13.002537472
5.0,-19.2193,61.0747,4903532,2023-06-15 20:47:59.002213888
6.0,-18.2689,61.2089,4903532,2023-06-25 18:05:52.001938432
7.0,-17.9474,61.6741,4903532,2023-07-05 15:24:51.001644032
8.0,-19.2198,62.2494,4903532,2023-07-15 15:13:08.001628160
9.0,-21.7143,61.5619,4903532,2023-07-25 14:32:29.001548288
10.0,-22.728,61.8537,4903532,2023-08-04 13:47:56.001462784
11.0,-23.6811,61.4604,4903532,2023-08-14 13:27:13.001434112
12.0,-24.08,60.904,4903532,2023-08-24 10:41:40.001132544
13.0,-24.2454,60.9804,4903532,2023-09-03 07:57:23.000834048
14.0,-24.7846,61.2452,4903532,2023-09-13 06:06:02.000652288
15.0,-24.332,61.3139,4903532,2023-09-23 06:23:46.000677376
16.0,-24.7769,61.214,4903532,2023-10-03 04:46:04.000496128
17.0,-24.8111,61.1369,4903532,2023-10-13 02:05:46.000221696
18.0,-25.029,61.2426,4903532,2023-10-23 00:04:54.000005632
19.0,-25.0119,60.8784,4903532,2023-11-01 21:27:41.002292224
20.0,-26.2974,60.5073,4903532,2023-11-11 21:06:30.002262016
21.0,-27.092,60.2428,4903532,2023-11-21 22:03:41.002364416
22.0,-27.0153,60.3299,4903532,2023-12-02 00:09:26.000012800
23.0,-25.9519,60.2643,4903532,2023-12-11 21:34:13.002302464
24.0,-25.6149,60.7165,4903532,2023-12-21 18:51:03.002005504
25.0,-24.3137,60.6803,4903532,2023-12-31 16:50:41.001788928
26.0,-23.7957,60.2513,4903532,2024-01-10 14:21:20.001532416
27.0,-23.5202,60.3811,4903532,2024-01-20 12:47:22.001355776
28.0,-23.9692,60.4655,4903532,2024-01-30 12:51:55.001361408
29.0,-23.5211,60.6996,4903532,2024-02-09 11:05:25.001187328
30.0,-24.5771,60.7915,4903532,2024-02-19 11:12:23.001197568
31.0,-23.9897,60.779,4903532,2024-02-29 09:33:33.001013248
33.0,-24.9451,60.9281,4903532,2024-03-20 09:13:19.000984576
34.0,-25.0972,60.9337,4903532,2024-03-30 10:07:43.001082880
35.0,-25.7019,60.995,4903532,2024-04-09 09:31:39.001010688
36.0,-26.5757,60.5388,4903532,2024-04-19 08:35:43.000909312
37.0,-28.4383,59.7685,4903532,2024-04-29 07:39:13.000807424
38.0,-29.4257,59.2093,4903532,2024-05-09 06:13:48.000662528
39.0,-30.2227,58.3782,4903532,2024-05-19 03:30:37.000365056
40.0,-31.4662,57.8364,4903532,2024-05-29 00:37:19.000053760
1.0,-19.1069985,51.04187449999999,1902637,2023-06-19 21:24:08.000001536
1.0,-19.114433000000002,51.10348833333334,1902637,2023-06-20 14:53:21.999997952
2.0,-19.114433000000002,51.10348833333334,1902637,2023-06-20 15:49:36.999996416
2.0,-19.127582166666667,51.19794316666666,1902637,2023-06-21 09:20:51.000007680
3.0,-19.127582166666667,51.19794316666666,1902637,2023-06-21 10:22:20.973590016
3.0,-19.1059995,51.27520083333334,1902637,2023-06-22 03:47:34.029490688
4.0,-19.128268166666665,51.403178833333335,1902637,2023-06-23 11:31:22.983441408
5.0,-19.105999999999998,51.659848499999995,1902637,2023-06-26 10:26:05.007869952
6.0,-18.968435666666668,51.8947965,1902637,2023-06-29 10:26:05.007883264
7.0,-18.557732666666666,52.12251866666667,1902637,2023-07-02 12:18:04.015697408
8.0,-17.935867666666663,52.311575999999995,1902637,2023-07-05 12:24:05.007753728
9.0,-17.8514175,52.69150249999999,1902637,2023-07-08 12:28:05.007700480
10.0,-18.3625635,52.667669333333336,1902637,2023-07-11 12:30:06.007712256
11.0,-18.185086000000002,52.43615983333334,1902637,2023-07-14 12:28:06.007929344
12.0,-17.653461,52.67288133333333,1902637,2023-07-17 12:24:06.999994368
13.0,-17.794941333333334,52.94294166666667,1902637,2023-07-20 12:24:06.007617024
14.0,-18.3307435,52.835434,1902637,2023-07-23 12:26:06.008079360
15.0,-18.57691433333333,52.68532933333333,1902637,2023-07-26 12:26:05.007702528
16.0,-18.551888333333334,52.636333,1902637,2023-07-29 12:24:05.007616000
17.0,-18.139986500000003,52.45946049999999,1902637,2023-08-01 12:22:05.007527424
18.0,-17.15370066666667,53.13156016666667,1902637,2023-08-11 12:18:01.014770688
19.0,-16.564026666666667,53.69176949999999,1902637,2023-08-21 12:14:03.009136128
20.0,-16.714145166666665,53.219339000000005,1902637,2023-08-31 12:28:01.013916672
21.0,-15.714033500000001,53.439011666666666,1902637,2023-09-10 12:10:00.013597696
22.0,-15.896335833333334,53.8090955,1902637,2023-09-20 12:26:01.013920256
23.0,-15.825579000000001,53.95627733333334,1902637,2023-09-30 12:23:59.016468992
24.0,-16.520268833333333,54.453456,1902637,2023-10-10 12:26:02.011649536
25.0,-17.0959155,53.90998816666667,1902637,2023-10-20 12:24:01.013981696
26.0,-16.560901666666666,53.44146233333333,1902637,2023-10-30 12:24:01.013813248
27.0,-16.568031666666666,53.14036083333334,1902637,2023-11-09 12:21:59.017093632
28.0,-16.493110833333333,53.095121166666665,1902637,2023-11-11 01:21:22.000007680
29.0,-16.245524666666665,53.26145866666668,1902637,2023-11-20 12:26:00.017507328
30.0,-15.595751833333335,53.67984266666667,1902637,2023-11-30 12:24:01.011647488
31.0,-15.640449333333333,54.54432933333332,1902637,2023-12-10 12:20:00.014357504
32.0,-14.8975565,54.65736533333334,1902637,2023-12-20 12:10:00.016301568
33.0,-15.902289,54.82847149999999,1902637,2023-12-30 12:16:00.016983552
34.0,-16.462619,54.801581500000005,1902637,2024-01-09 12:21:59.017190912
35.0,-16.147440333333336,54.76399083333334,1902637,2024-01-19 12:24:00.016798720
36.0,-15.956457333333333,54.60651283333333,1902637,2024-01-29 12:23:58.018674176
37.0,-15.767001999999998,55.20712916666666,1902637,2024-02-08 12:16:00.016777728
38.0,-16.178958833333336,55.08926933333334,1902637,2024-02-18 12:22:01.014595584
39.0,-17.454385666666667,54.740998999999995,1902637,2024-02-28 03:57:45.017177088
40.0,-18.264775333333333,54.37032933333333,1902637,2024-03-08 10:01:41.015605760
41.0,-18.927391833333335,54.46411033333334,1902637,2024-03-17 06:55:31.015987200
42.0,-18.78251283333333,54.82193316666667,1902637,2024-03-26 04:58:24.014817792
43.0,-19.10225416666667,55.045391,1902637,2024-03-31 13:27:17.008224768
44.0,-19.101343166666666,55.50049883333333,1902637,2024-04-05 13:27:15.013304832
45.0,-19.730025166666668,56.15868733333333,1902637,2024-04-10 13:27:16.008705024
46.0,-20.3878395,57.01367633333333,1902637,2024-04-15 13:21:16.008866304
47.0,-20.418183833333334,57.52930433333333,1902637,2024-04-20 13:27:16.008936960
48.0,-20.353266833333333,57.909286,1902637,2024-04-25 13:25:17.008905216
49.0,-20.191724,58.21192416666666,1902637,2024-04-30 13:31:16.008844288
50.0,-20.057575666666665,58.2776055,1902637,2024-05-05 13:25:17.008790016
51.0,-19.4984285,58.397678666666664,1902637,2024-05-10 13:29:16.008712192
52.0,-18.902349666666666,58.58736566666666,1902637,2024-05-15 13:09:16.012721152
53.0,-18.32619683333333,59.11793133333334,1902637,2024-05-20 13:27:17.008475136
54.0,-18.769068666666666,59.527375666666664,1902637,2024-05-25 13:23:15.013746176
55.0,-19.1886105,59.45969149999999,1902637,2024-05-30 13:27:18.004340224
2,-23.1665,58.1415,navis101,2022-07-25 20:38:11.000000000
3,-22.6485,58.4391,navis101,2022-07-30 21:10:54.000000000
4,-21.9113,58.7442,navis101,2022-08-04 13:19:01.000000000
5,-22.5342,59.1069,navis101,2022-08-09 01:28:42.000000000
6,-22.5308,59.3274,navis101,2022-08-13 12:31:46.000000000
7,-21.9868,59.5784,navis101,2022-08-18 00:30:51.000000000
8,-22.2652,60.2892,navis101,2022-08-22 11:43:13.000000000
9,-22.7817,60.3071,navis101,2022-08-26 23:18:16.000000000
10,-22.9028,60.1315,navis101,2022-08-31 11:08:50.000000000
11,-23.0509,59.8109,navis101,2022-09-04 21:24:18.000000000
12,-23.2113,59.763,navis101,2022-09-09 09:16:01.000000000
13,-23.1376,59.5791,navis101,2022-09-13 21:04:08.000000000
14,-23.8262,59.6052,navis101,2022-09-18 10:41:07.000000000
15,-24.5716,59.5249,navis101,2022-09-22 21:48:00.000000000
16,-25.2721,59.5663,navis101,2022-09-27 09:54:04.000000000
17,-25.6242,59.7846,navis101,2022-10-01 22:54:38.000000000
18,-25.1471,59.8539,navis101,2022-10-06 12:32:36.000000000
19,-25.0754,59.4936,navis101,2022-10-11 00:30:04.000000000
20,-25.6226,59.4798,navis101,2022-10-15 15:03:14.000000000
21,-25.7554,59.4556,navis101,2022-10-20 03:02:25.000000000
22,-25.7474,59.4654,navis101,2022-10-24 16:02:58.000000000
23,-25.7005,59.6877,navis101,2022-10-29 03:15:04.000000000
24,-25.1686,59.8631,navis101,2022-11-02 15:56:47.000000000
25,-24.5688,59.8404,navis101,2022-11-07 02:59:59.000000000
26,-24.6326,59.6306,navis101,2022-11-11 15:53:35.000000000
27,-24.6078,59.6008,navis101,2022-11-16 03:38:27.000000000
28,-24.581,59.67,navis101,2022-11-20 16:23:15.000000000
29,-24.5013,59.5709,navis101,2022-11-25 04:23:04.000000000
30,-24.4547,59.5557,navis101,2022-11-29 17:08:12.000000000
31,-24.4526,59.5098,navis101,2022-12-04 04:03:59.000000000
32,-24.423,59.3944,navis101,2022-12-08 16:57:31.000000000
33,-24.88,59.4973,navis101,2022-12-13 04:22:59.000000000
34,-25.068,59.6655,navis101,2022-12-17 17:40:33.000000000
35,-25.1315,59.7001,navis101,2022-12-27 04:44:02.000000000
36,-25.4591,59.2587,navis101,2023-01-05 17:28:05.000000000
37,-26.3571,59.4604,navis101,2023-01-15 06:08:56.000000000
38,-26.0299,59.7094,navis101,2023-01-24 17:43:18.000000000
39,-24.701,59.8281,navis101,2023-02-03 07:47:47.000000000
40,-24.3172,59.8543,navis101,2023-02-12 19:01:49.000000000
41,-24.124,60.1208,navis101,2023-02-22 08:44:51.000000000
42,-23.1153,59.5776,navis101,2023-03-03 19:52:54.000000000
43,-22.7444,59.4948,navis101,2023-03-13 08:57:25.000000000
44,-22.5864,59.6074,navis101,2023-03-22 20:17:49.000000000
45,-22.4625,59.68,navis101,2023-04-01 11:11:37.000000000
46,-20.8271,60.216,navis101,2023-04-10 22:51:53.000000000
47,-21.1595,59.9182,navis101,2023-04-20 10:46:09.000000000
48,-21.1714,59.8541,navis101,2023-04-30 00:00:39.000000000
49,-21.3846,60.1984,navis101,2023-05-09 11:34:21.000000000
50,-20.9303,60.0565,navis101,2023-05-19 00:13:18.000000000
51,-20.9641,60.0273,navis101,2023-05-28 11:44:09.000000000
52,-21.6063,59.7465,navis101,2023-06-07 01:05:57.000000000
53,-21.1195,59.7076,navis101,2023-06-16 12:26:12.000000000
54,-21.5788,60.0284,navis101,2023-06-26 01:04:43.000000000
55,-21.4964,59.5399,navis101,2023-07-05 12:40:47.000000000
56,-21.3238,59.801,navis101,2023-07-15 01:39:42.000000000
57,-22.1045,59.5565,navis101,2023-07-24 13:42:21.000000000
58,-23.5262,59.3992,navis101,2023-08-03 02:31:04.000000000
59,-24.5753,59.7649,navis101,2023-08-12 15:33:02.000000000
60,-23.9796,59.9403,navis101,2023-08-22 04:02:33.000000000
61,-23.9486,60.0895,navis101,2023-08-31 17:04:51.000000000
62,-24.3782,60.0139,navis101,2023-09-10 04:51:12.000000000
63,-24.7695,59.6453,navis101,2023-09-19 18:21:09.000000000
64,-24.4439,59.6543,navis101,2023-09-29 06:25:09.000000000
65,-25.0525,59.6635,navis101,2023-10-08 19:52:44.000000000
66,-25.6033,59.6301,navis101,2023-10-18 07:02:57.000000000
67,-26.2979,59.5682,navis101,2023-10-27 20:30:16.000000000
68,-26.2913,59.5326,navis101,2023-11-06 07:55:10.000000000
69,-26.019,59.6395,navis101,2023-11-15 21:10:39.000000000
70,-25.8724,59.5966,navis101,2023-11-25 09:10:22.000000000
71,-25.8159,59.8136,navis101,2023-12-04 22:42:34.000000000
72,-26.1959,59.378,navis101,2023-12-14 11:05:08.000000000
73,-26.1662,58.9208,navis101,2023-12-24 01:43:12.000000000
74,-25.135,59.2315,navis101,2024-01-02 13:25:26.000000000
75,-22.7769,59.3994,navis101,2024-01-12 02:18:51.000000000
76,-23.2102,59.7518,navis101,2024-01-21 15:53:41.000000000
77,-23.8595,59.7805,navis101,2024-01-31 04:54:49.000000000
78,-23.9864,59.7306,navis101,2024-02-09 18:01:11.000000000
79,-23.9209,59.5091,navis101,2024-02-19 07:48:46.000000000
80,-23.1681,59.3754,navis101,2024-02-28 19:10:42.000000000
81,-22.1303,60.0977,navis101,2024-03-09 08:22:43.000000000
82,-22.8953,60.0006,navis101,2024-03-18 20:40:38.000000000
83,-23.5484,60.1537,navis101,2024-03-28 10:39:17.000000000
84,-24.0773,60.0144,navis101,2024-04-06 23:54:05.000000000
85,-23.7813,60.3554,navis101,2024-04-16 11:39:42.000000000
86,-23.7123,60.4387,navis101,2024-04-26 01:34:26.000000000
87,-23.9699,60.0624,navis101,2024-05-05 12:57:59.000000000
88,-22.0592,60.0477,navis101,2024-05-15 01:41:41.000000000
89,-22.3501,59.95,navis101,2024-05-24 14:55:26.000000000
2,-10.5011,57.3979,navis102,2022-07-17 17:57:42.000000000
3,-10.5557,57.397,navis102,2022-07-22 13:15:20.000000000
4,-10.39,57.4606,navis102,2022-07-27 08:23:41.000000000
5,-10.5609,57.6189,navis102,2022-08-01 03:50:17.000000000
6,-11.086,57.7479,navis102,2022-08-05 23:05:59.000000000
7,-11.4457,57.7231,navis102,2022-08-10 19:11:36.000000000
8,-11.3806,57.8442,navis102,2022-08-15 14:43:50.000000000
9,-12.251,58.2749,navis102,2022-08-20 09:23:56.000000000
10,-11.9927,58.7326,navis102,2022-08-25 04:33:09.000000000
11,-12.7475,58.5824,navis102,2022-08-30 00:29:11.000000000
12,-12.845,58.1855,navis102,2022-09-03 19:45:57.000000000
13,-12.5433,57.8927,navis102,2022-09-08 15:14:14.000000000
14,-12.6089,57.4698,navis102,2022-09-13 10:31:15.000000000
15,-12.5514,57.2069,navis102,2022-09-18 06:35:24.000000000
16,-12.6458,57.1515,navis102,2022-09-23 02:02:46.000000000
17,-12.5701,57.1951,navis102,2022-09-27 21:33:28.000000000
18,-11.9861,57.3613,navis102,2022-10-02 17:28:49.000000000
19,-11.2962,57.6134,navis102,2022-10-07 14:32:21.000000000
20,-10.1219,57.7125,navis102,2022-10-12 08:20:21.000000000
21,-10.1774,57.963,navis102,2022-10-17 02:37:12.000000000
22,-10.7854,57.9712,navis102,2022-10-21 20:21:11.000000000
23,-10.7538,57.6719,navis102,2022-10-26 13:52:34.000000000
24,-10.4664,57.5828,navis102,2022-10-31 07:30:50.000000000
25,-10.3064,57.6412,navis102,2022-11-05 02:57:25.000000000
26,-9.976,57.9449,navis102,2022-11-09 23:12:00.000000000
27,-9.6566,58.5748,navis102,2022-11-14 18:48:01.000000000
28,-9.3809,58.9388,navis102,2022-11-19 14:32:27.000000000
29,-9.0276,59.0326,navis102,2022-11-24 10:18:41.000000000
30,-8.5758,58.9354,navis102,2022-11-29 05:34:15.000000000
31,-8.8725,58.9087,navis102,2022-12-04 00:40:41.000000000
32,-8.5839,58.9183,navis102,2022-12-08 19:48:57.000000000
33,-8.7014,59.0269,navis102,2022-12-13 16:06:27.000000000
34,-8.7736,58.8375,navis102,2022-12-18 11:59:51.000000000
35,-8.4486,58.8675,navis102,2022-12-23 06:58:08.000000000
36,-9.0638,58.7793,navis102,2022-12-28 02:51:31.000000000
37,-9.1254,58.592,navis102,2023-01-01 20:44:18.000000000
38,-9.3708,58.6582,navis102,2023-01-06 15:51:25.000000000
39,-9.3145,58.852,navis102,2023-01-11 11:20:32.000000000
40,-9.4794,58.9216,navis102,2023-01-16 06:48:54.000000000
41,-9.6331,59.0491,navis102,2023-01-21 01:51:26.000000000
42,-9.706,59.1027,navis102,2023-01-25 20:12:48.000000000
43,-9.2604,59.5058,navis102,2023-01-30 14:49:03.000000000
44,-8.6952,59.4903,navis102,2023-02-04 09:11:51.000000000
45,-8.3634,59.2573,navis102,2023-02-09 07:28:11.000000000
46,-8.3728,59.2856,navis102,2023-02-14 04:26:37.000000000
47,-7.7624,59.2207,navis102,2023-02-18 23:44:19.000000000
48,-8.6459,58.9525,navis102,2023-02-28 18:42:16.000000000
49,-8.6306,59.086,navis102,2023-03-10 13:33:22.000000000
50,-8.0504,59.2587,navis102,2023-03-20 08:37:57.000000000
51,-9.2445,59.4393,navis102,2023-03-30 03:13:38.000000000
52,-9.7822,59.5451,navis102,2023-04-08 22:24:31.000000000
53,-9.9724,59.8139,navis102,2023-04-18 17:33:40.000000000
54,-11.2896,60.3996,navis102,2023-04-28 11:08:51.000000000
55,-11.6511,60.2018,navis102,2023-05-08 05:06:14.000000000
56,-11.2511,60.2298,navis102,2023-05-17 23:02:11.000000000
57,-11.5607,60.3386,navis102,2023-05-27 16:53:12.000000000
58,-10.824,59.8704,navis102,2023-06-06 10:58:28.000000000
59,-10.2161,59.8363,navis102,2023-06-16 04:50:47.000000000
60,-8.7115,59.9139,navis102,2023-06-25 23:01:07.000000000
61,-9.9777,60.2127,navis102,2023-07-05 16:37:35.000000000
62,-10.1438,59.9354,navis102,2023-07-15 10:44:31.000000000
63,-11.3298,59.8114,navis102,2023-07-25 06:35:32.000000000
64,-11.006,59.9651,navis102,2023-08-04 00:47:14.000000000
65,-11.4052,59.8917,navis102,2023-08-13 19:02:58.000000000
66,-11.2699,59.8701,navis102,2023-08-23 14:20:45.000000000
67,-11.0048,60.1012,navis102,2023-09-02 08:35:38.000000000
68,-10.4223,59.8413,navis102,2023-09-12 02:07:37.000000000
69,-10.0891,59.8988,navis102,2023-09-21 21:05:55.000000000
70,-10.2559,59.771,navis102,2023-10-01 15:51:25.000000000
71,-10.1416,59.9095,navis102,2023-10-11 09:56:51.000000000
72,-10.1918,59.6581,navis102,2023-10-21 05:05:47.000000000
73,-11.0969,59.7332,navis102,2023-10-31 00:23:57.000000000
74,-12.063,59.5744,navis102,2023-11-09 19:45:05.000000000
75,-11.8686,59.5949,navis102,2023-11-19 15:14:16.000000000
76,-12.8036,59.3304,navis102,2023-11-29 10:51:16.000000000
77,-12.9396,59.6741,navis102,2023-12-09 05:45:06.000000000
78,-13.0982,59.8332,navis102,2023-12-19 00:18:16.000000000
79,-13.4574,59.9482,navis102,2023-12-28 17:54:19.000000000
80,-13.552,59.9416,navis102,2024-01-07 12:41:47.000000000
81,-13.6882,60.2476,navis102,2024-01-17 06:21:30.000000000
82,-12.7599,60.8273,navis102,2024-01-27 00:45:27.000000000
83,-12.3305,60.8568,navis102,2024-02-05 20:17:39.000000000
84,-11.8369,60.8251,navis102,2024-02-15 14:10:05.000000000
85,-11.5164,61.1565,navis102,2024-02-25 09:06:56.000000000
86,-11.2904,61.3204,navis102,2024-03-06 04:44:28.000000000
87,-11.1075,61.6768,navis102,2024-03-16 00:41:08.000000000
88,-10.9185,61.5813,navis102,2024-03-25 19:30:08.000000000
89,-11.8089,62.1171,navis102,2024-04-04 14:59:35.000000000
90,-13.3442,62.492,navis102,2024-04-14 10:00:16.000000000
91,-14.2395,63.4922,navis102,2024-04-24 04:28:23.000000000
92,-14.5091,63.3072,navis102,2024-05-03 22:57:41.000000000
93,-14.5707,63.2348,navis102,2024-05-13 18:04:09.000000000
94,-15.9194,62.9451,navis102,2024-05-23 13:46:06.000000000
